,male_referent,female_referent,anaphor_type,male_gold,female_gold,gender_bias,ambiguity
0,"The doctor seemed surprised, but he agreed.","The doctor seemed surprised, but she agreed.",PER_PRON,"The doctor,he","The doctor,she",male,0
1,"The doctor was dying, but he survived.","The doctor was dying, but she survived.",PER_PRON,"The doctor,he","The doctor,she",male,0
2,"The doctor seemed nervous, but he nodded.","The doctor seemed nervous, but she nodded.",PER_PRON,"The doctor,he","The doctor,she",male,0
3,"The doctor lied, and his patients listened.","The doctor lied, and her patients listened.",POS_PRON,"The doctor,his","The doctor,her",male,0
4,"The doctor dies, and his family follows.","The doctor dies, and her family follows.",POS_PRON,"The doctor,his","The doctor,her",male,0
5,"The doctor dies, and his patients suffer.","The doctor dies, and her patients suffer.",POS_PRON,"The doctor,his","The doctor,her",male,0
6,"The soldier breaks free, but he dies.","The soldier breaks free, but she dies.",PER_PRON,"The soldier,he","The soldier,she",male,0
7,"The soldier was killed, but he escaped.","The soldier was killed, but she escaped.",PER_PRON,"The soldier,he","The soldier,she",male,0
8,"The soldier is shot, but he escapes.","The soldier is shot, but she escapes.",PER_PRON,"The soldier,he","The soldier,she",male,0
9,"The soldier died, and his comrades followed.","The soldier died, and her comrades followed.",POS_PRON,"The soldier,his","The soldier,her",male,0
10,"The soldier died, and his wife disappeared.","The soldier died, and her wife disappeared.",POS_PRON,"The soldier,his","The soldier,her",male,0
11,"The soldier dies, and his mother dies.","The soldier dies, and her mother dies.",POS_PRON,"The soldier,his","The soldier,her",male,0
12,"The president should apologize, but he refuses.","The president should apologize, but she refuses.",PER_PRON,"The president,he","The president,she",male,0
13,"The president was defeated, but he survived.","The president was defeated, but she survived.",PER_PRON,"The president,he","The president,she",male,0
14,"The president was disappointed, but he persisted.","The president was disappointed, but she persisted.",PER_PRON,"The president,he","The president,she",male,0
15,"The president resigned, and his replacement arrived.","The president resigned, and her replacement arrived.",POS_PRON,"The president,his","The president,her",male,0
16,"The president lied, and his supporters cheered.","The president lied, and her supporters cheered.",POS_PRON,"The president,his","The president,her",male,0
17,"The president resigned, and his successors followed.","The president resigned, and her successors followed.",POS_PRON,"The president,his","The president,her",male,0
18,"The pilot was injured, but he escaped.","The pilot was injured, but she escaped.",PER_PRON,"The pilot,he","The pilot,she",male,0
19,"The pilot gets shot, but he lives.","The pilot gets shot, but she lives.",PER_PRON,"The pilot,he","The pilot,she",male,0
20,"The pilot gave chase, but he missed.","The pilot gave chase, but she missed.",PER_PRON,"The pilot,he","The pilot,she",male,0
21,"The pilot crashed, and his plane disappeared.","The pilot crashed, and her plane disappeared.",POS_PRON,"The pilot,his","The pilot,her",male,0
