,sentence,position,gold,syntactic_role,number
0,"After the car exploded, it was completely destroyed.",subordinate,"the car,it",subj,singular
1,The car exploded. It was completely destroyed.,independent,"The car,It",subj,singular
2,"After it exploded, the car was completely destroyed.",cataphora,"it,the car",subj,singular
3,"After the car crashed, it was completely submerged.",subordinate,"the car,it",subj,singular
4,The car crashed. It was completely submerged.,independent,"The car,It",subj,singular
5,"After it crashed, the car was completely submerged.",cataphora,"it,the car",subj,singular
6,"After the car crashed, it was completely gone.",subordinate,"the car,it",subj,singular
7,The car crashed. It was completely gone.,independent,"The car,It",subj,singular
8,"After it crashed, the car was completely gone.",cataphora,"it,the car",subj,singular
9,"After the population disappeared, it was completely destroyed.",subordinate,"the population,it",subj,singular
10,The population disappeared. It was completely destroyed.,independent,"The population,It",subj,singular
11,"After it disappeared, the population was completely destroyed.",cataphora,"it,the population",subj,singular
12,"After the population disappeared, it was completely abandoned.",subordinate,"the population,it",subj,singular
13,The population disappeared. It was completely abandoned.,independent,"The population,It",subj,singular
14,"After it disappeared, the population was completely abandoned.",cataphora,"it,the population",subj,singular
15,"After the population died, it was completely destroyed.",subordinate,"the population,it",subj,singular
16,The population died. It was completely destroyed.,independent,"The population,It",subj,singular
17,"After it died, the population was completely destroyed.",cataphora,"it,the population",subj,singular
18,"After the book ended, it was completely forgotten.",subordinate,"the book,it",subj,singular
19,The book ended. It was completely forgotten.,independent,"The book,It",subj,singular
20,"After it ended, the book was completely forgotten.",cataphora,"it,the book",subj,singular
21,"After the book ended, it was completely rewritten.",subordinate,"the book,it",subj,singular
22,The book ended. It was completely rewritten.,independent,"The book,It",subj,singular
23,"After it ended, the book was completely rewritten.",cataphora,"it,the book",subj,singular
24,"After the book died, it was completely destroyed.",subordinate,"the book,it",subj,singular
25,The book died. It was completely destroyed.,independent,"The book,It",subj,singular
26,"After it died, the book was completely destroyed.",cataphora,"it,the book",subj,singular
27,"After the party dissolved, it was completely disbanded.",subordinate,"the party,it",subj,singular
28,The party dissolved. It was completely disbanded.,independent,"The party,It",subj,singular
29,"After it dissolved, the party was completely disbanded.",cataphora,"it,the party",subj,singular
30,"After the party dissolved, it was completely dismantled.",subordinate,"the party,it",subj,singular
31,The party dissolved. It was completely dismantled.,independent,"The party,It",subj,singular
32,"After it dissolved, the party was completely dismantled.",cataphora,"it,the party",subj,singular
33,"After the party resigned, it was completely dissolved.",subordinate,"the party,it",subj,singular
34,The party resigned. It was completely dissolved.,independent,"The party,It",subj,singular
35,"After it resigned, the party was completely dissolved.",cataphora,"it,the party",subj,singular
36,"After the ethnicity changes, it was completely different.",subordinate,"the ethnicity,it",subj,singular
37,The ethnicity changes. It was completely different.,independent,"The ethnicity,It",subj,singular
